Gemi Adi,Konteyner Numarasi,Kalkis Limani,Varis Limani,Kalkis Tarihi,Varis Tarihi,Tasima Ucreti,Tasima Mesafesi
Shaw-Baker,2390329463,Valerieview,Byrdtown,2023-08-16 16:49:03,2024-09-24 20:49:31,4407.64,949.12
"Foster, Sullivan and Hood",2698082085,South Amberview,New James,2023-10-12 08:20:53,2024-10-23 07:42:12,5240.32,5870.13
Coleman and Sons,4868375886,Port Kelly,East Geraldhaven,2023-03-13 12:24:53,2024-07-10 02:15:26,2948.16,2464.17
Smith-Lara,946793134,South John,North Patrick,2023-04-28 07:25:13,2025-02-10 10:17:32,5985.11,2791.13
"Castillo, Patrick and Jackson",5960683164,South Erin,Johnburgh,2023-04-22 04:47:35,2025-02-12 20:17:51,2433.53,2833.33
Alvarez-Anderson,6236803775,Chandlerborough,Robertmouth,2023-02-19 18:53:23,2024-11-24 07:44:22,8370.82,2801.8
Hess Ltd,6837790827,South Raymondstad,Wilsonport,2023-06-27 02:03:05,2025-01-29 03:14:59,2195.33,7902.95
"Bartlett, Mccarty and Murillo",1253904368,South Todd,North Kristina,2023-11-11 13:19:47,2025-02-12 15:48:41,4806.37,7442.83
"Jimenez, Garza and Ortega",6194916683,Mccartymouth,East Garychester,2023-08-13 02:41:35,2025-01-17 05:34:46,4254.2,7496.12
"Little, Powell and Pratt",8483301335,Port Mariaborough,East Jillchester,2023-07-19 04:25:52,2025-02-12 06:14:46,5067.73,2471.64
"Harmon, Shaffer and Smith",5799579828,New Nathaniel,Rachelton,2023-07-27 11:35:39,2024-07-31 01:17:26,8683.92,8777.19
Thompson Inc,8523907449,Juliaton,Kingside,2023-08-23 00:34:43,2024-11-16 07:10:37,7057.65,4332.46
Jones-Buck,4379145146,West Thomasland,Lake Beverly,2023-09-02 10:16:00,2024-03-22 09:38:18,2238.97,911.04
Scott Inc,3810105816,Jacksonborough,Lake Debbiechester,2023-03-21 02:37:33,2024-06-22 21:42:50,5200.54,3313.15
Garcia-Morgan,6904302383,West Roger,Bretttown,2023-12-06 20:37:31,2024-12-06 14:42:02,2819.0,8882.81
"Parker, Flores and Powell",678222484,Josephport,Davidview,2023-10-31 20:24:49,2024-09-05 09:52:13,6869.4,1651.4
Smith-Branch,1392658160,Campbellbury,Sethborough,2023-09-27 20:17:44,2024-06-21 08:17:08,2411.72,6407.44
Garcia and Sons,7753011520,Christineshire,East Brettstad,2023-11-18 21:17:33,2024-06-06 17:22:53,6988.89,3138.61
"Nguyen, Davis and Barnett",6260828601,Robertbury,Ashleyland,2023-05-11 05:22:47,2025-02-10 11:15:41,2072.06,3593.08
Green-Campos,1152187271,Alvaradofort,Leeland,2023-03-15 20:27:23,2024-08-23 05:47:13,3437.16,1157.13
Watson-Green,8446227437,North Richard,Lake Allisonstad,2023-07-26 12:00:04,2024-11-02 17:20:26,5220.07,8405.31
Peterson PLC,4878007759,Valentineside,New Stacyton,2023-06-06 12:23:24,2024-11-02 07:11:35,5520.22,8881.95
"Rice, Graham and Lee",5032646910,Port Carlport,Adamchester,2024-02-17 10:33:24,2024-10-22 04:34:00,4114.45,3975.42
White-Mcintosh,4398052740,New Joelchester,South Keith,2023-03-13 08:16:02,2024-03-03 05:34:03,8374.52,6437.84
"Chan, Alexander and Lindsey",9940332081,Mullinsfurt,Olsenton,2023-05-31 04:30:58,2024-11-03 15:37:29,1416.04,2057.32
Guerra Group,7899322031,South Josebury,Pricefurt,2023-12-29 07:24:22,2024-05-16 01:19:39,4462.87,1606.9
"Choi, Guzman and Rhodes",2768600173,Lake Danielmouth,West Paul,2023-04-29 09:44:02,2024-12-24 07:42:31,4317.82,4098.52
Gonzalez-Merritt,1479875000,Mejiaton,Perryview,2023-06-15 21:41:45,2024-09-16 09:00:16,3639.12,218.64
Brown-Campbell,1205320331,North Randystad,South Cherylberg,2023-07-07 05:10:24,2024-02-25 10:59:12,4564.45,1446.17
"Dalton, Graves and Barrett",986139016,Davidburgh,Huntershire,2024-01-24 12:29:33,2024-10-09 06:46:12,6181.75,5251.83
Mayer and Sons,1148233003,New James,Nicholastown,2024-02-07 22:51:38,2024-10-25 10:26:49,3582.85,1792.43
Cox Group,6586103232,New Christinachester,Hineschester,2024-01-10 10:27:36,2025-01-13 18:48:13,9390.07,5370.74
Walker-Richards,8308195119,Danielside,East Katherine,2024-01-18 16:02:18,2024-07-28 18:03:50,8342.48,9666.61
Young PLC,9017833945,Trevormouth,New Kaylafurt,2023-12-10 02:32:10,2024-10-30 05:06:29,1219.33,661.21
Richardson and Sons,6235342097,West Kennethmouth,Wiseborough,2023-08-15 16:35:32,2025-01-05 14:04:09,3343.03,2687.15
Simmons Ltd,4711910542,Allenville,Annettemouth,2023-12-04 22:25:16,2024-05-06 01:59:11,9703.85,3578.97
Bullock-Williamson,6573144660,East Deborah,West Wesleyborough,2024-01-27 14:06:17,2024-11-25 06:01:00,4670.14,7760.2
Martinez Ltd,2525883295,Nathanshire,North Kevinbury,2023-09-20 00:39:33,2024-06-24 06:05:25,9579.44,2389.89
May Ltd,5320262312,South Sonyafort,South Patricia,2023-05-09 13:11:16,2024-09-10 21:17:02,3558.73,7361.12
Suarez-Cline,318706961,Stoneberg,Lake Joseph,2023-12-11 04:41:40,2024-10-15 15:18:41,3800.74,1402.23
Maldonado-Park,9763569795,Hunterfort,West Alicia,2023-08-01 05:45:38,2025-01-19 01:01:03,3257.0,9204.29
Diaz PLC,6174586567,Port Davidland,East Jefffort,2023-06-20 21:05:57,2024-05-28 10:16:56,8903.23,1046.13
"Young, Trujillo and Larson",5098939370,Doyleberg,Joannabury,2024-02-03 07:52:44,2024-04-22 07:10:55,7861.35,2008.52
Barnes Inc,7891022473,Sandovalstad,East Morganshire,2023-02-22 07:24:33,2024-05-23 08:09:54,4023.11,1304.94
Crosby-Frederick,3392820100,New Samuelstad,West Dennis,2023-03-29 17:56:17,2024-02-29 20:10:25,3367.53,6000.52
Owens LLC,4319225802,Parkerton,Rivasberg,2024-01-07 09:39:45,2025-02-11 20:28:38,1322.58,7082.88
Green-Maldonado,2878841737,Port Derekborough,Denisefort,2023-06-10 04:14:29,2024-10-01 12:23:30,9890.73,1828.8
Boyd Ltd,9200315586,North Danielstad,Lake Christopher,2023-02-25 21:22:21,2024-10-14 08:08:31,6847.25,260.88
Aguilar-Reid,9584070635,Jenniferberg,Hayeston,2024-01-01 06:41:00,2024-08-01 14:48:16,2289.08,1426.56
Singh LLC,4225930242,East Jason,West Timothyville,2023-03-11 07:18:00,2024-02-28 06:46:32,8198.29,3199.24
"Taylor, Patel and Chandler",5943351845,South Lauren,Johnburgh,2024-01-30 18:42:28,2024-05-11 11:57:49,2154.22,6869.99
Hernandez-Hernandez,3717372239,West Terrichester,Kaylaland,2023-07-21 04:11:34,2024-04-14 06:46:36,6468.69,2636.29
"Manning, Blankenship and Meza",5687778304,Carloshaven,East Chaseberg,2023-03-02 05:30:41,2024-08-28 01:41:48,3190.67,1646.5
Stevens and Sons,3834067366,West Michaelfurt,West Gregoryland,2023-07-28 17:37:08,2024-08-22 22:25:58,7184.41,7375.89
Alvarado-Fleming,9169690237,East Tracey,Hernandezfurt,2023-06-20 22:29:36,2025-01-05 14:52:49,1872.47,4154.43
"Cox, Hughes and Fisher",5124587927,West Franciscomouth,Farrellland,2024-02-19 09:44:02,2024-12-31 14:02:06,1528.4,1358.61
Taylor and Sons,4134236754,North Henry,Barbaraberg,2024-02-16 09:30:57,2024-11-20 22:17:16,4473.83,4721.89
Taylor LLC,6950727876,Josephshire,North Jessicaberg,2024-01-17 06:12:45,2024-08-15 14:47:40,8631.21,7529.54
Brown Ltd,1299447510,South Lucas,Kathleenside,2023-03-21 18:42:18,2024-05-31 15:39:41,4363.71,8061.56
Lewis and Sons,1968064537,Tuckerfort,West Roseberg,2023-10-18 21:25:48,2024-02-24 15:43:37,6798.61,3287.79
"Combs, Jacobs and Barnett",2669538899,Port Luis,Maryfurt,2023-11-07 03:22:12,2024-07-02 04:40:07,9288.97,675.76
Leblanc Group,3495651742,Thomasville,Larryburgh,2023-02-28 23:55:19,2024-04-03 12:03:45,5358.17,7154.79
Juarez Ltd,6576026590,West Cynthia,Nancymouth,2023-06-14 22:28:18,2024-08-18 09:53:30,2139.96,7270.31
Molina and Sons,5419587572,Carrillofurt,New Jimmyshire,2023-10-25 08:47:01,2024-06-11 22:41:26,1564.67,8182.14
Torres-Frey,4255853269,Shawnland,Tammyshire,2023-05-21 12:39:28,2024-12-21 01:24:47,4729.74,2987.48
"West, Shields and Brown",2572537865,Strongfurt,Carlbury,2023-07-11 12:37:52,2024-03-03 03:46:20,1547.23,8142.88
Robinson and Sons,8395773194,Jessicafurt,Simsfort,2023-08-20 16:30:48,2024-06-08 11:22:47,4524.46,8902.52
"Wood, Hudson and Taylor",6472475329,New Mariafort,North Alex,2023-11-28 08:17:03,2024-08-13 18:19:23,9566.65,4052.33
Mathis-Christensen,1334608171,Port Laura,Christieview,2023-02-20 01:30:18,2024-03-15 22:01:33,3813.74,3235.87
"Barnes, Marks and Bruce",6664354677,New Shannon,East Alicialand,2023-06-05 08:27:22,2024-05-02 07:15:14,5372.15,6603.0
Larson-Robertson,4891314560,Manuelfurt,South Michaeltown,2023-02-19 18:34:11,2024-12-14 19:50:13,4745.81,9678.96
Barron Group,8997353981,Port Victoria,North Tammy,2023-04-05 22:30:41,2024-11-30 14:24:42,6298.66,8328.24
Dalton-Gardner,8520410036,New Bryan,Rowlandhaven,2024-01-06 21:39:25,2024-11-09 14:38:05,3619.76,3328.48
Yang Inc,5130720372,Adamsville,Grimesburgh,2023-06-28 11:50:04,2024-08-24 08:56:26,8693.63,6092.4
"Sullivan, Patel and Cervantes",1896505878,Goldenstad,East Rachel,2024-02-11 08:26:06,2024-08-06 18:43:01,9583.87,4854.45
Mcdaniel Inc,6908575393,Carrtown,Dawnton,2023-05-09 15:22:57,2024-07-02 01:04:34,4911.78,2372.98
Reeves PLC,9153763149,Smithfort,East Tara,2024-01-20 09:54:26,2024-06-09 07:07:09,6608.68,5789.27
Rose LLC,3435628892,Port Lisafurt,Port Ryanhaven,2023-07-29 19:51:23,2024-02-29 08:41:20,1683.87,1855.25
Lambert PLC,8424338677,New Sharonchester,Gomeztown,2023-03-24 14:12:47,2025-02-18 11:18:08,6041.86,3123.91
Hawkins Group,6202944978,Garrettshire,Ruizfurt,2023-05-31 09:57:33,2024-09-24 16:57:24,9330.39,8890.3
"Munoz, Watkins and Ortiz",4423632186,Port Leahside,South Kathleentown,2023-11-04 01:19:47,2024-05-07 03:03:20,8087.86,6266.46
"Brown, Fletcher and Chan",4911378812,Port Stephaniemouth,East Angelicamouth,2024-02-11 11:29:33,2024-03-15 15:15:40,1552.98,9538.66
Hudson Ltd,4165724451,Donaldburgh,New Meghan,2023-05-09 14:53:13,2024-07-14 02:38:28,9133.22,6189.81
Ramirez and Sons,7229260933,Mccarthyshire,East Destiny,2023-08-04 22:45:27,2024-05-28 16:03:52,1809.97,4779.14
"Cole, Andrews and Lamb",5797511168,East Courtneyfurt,Michaelborough,2023-10-07 10:29:27,2024-06-13 18:30:44,9865.2,8849.76
Hicks-Mitchell,8529657514,Matthewside,West Williamfurt,2023-03-05 11:40:48,2024-11-05 06:02:28,8619.23,7781.65
Cole-Fisher,5441042656,Port Alexis,Sherryberg,2023-06-08 18:00:18,2024-12-19 07:21:00,4133.91,8822.36
"Evans, Berger and Carter",169814,East Eric,Martinezmouth,2023-06-20 16:33:38,2025-02-06 14:22:42,9071.73,923.35
Alexander Group,4370858126,New Steven,Lake Crystal,2023-06-11 07:14:25,2024-03-28 13:18:59,4187.44,1081.15
Hester-Anderson,9082959314,Ashleyfort,Brownfort,2023-06-07 23:13:02,2024-06-11 15:41:49,4816.96,6635.38
Higgins-Evans,7607459117,Suzannestad,Danielville,2023-09-18 21:22:39,2024-04-26 13:11:01,9604.39,4044.91
Smith Inc,1181931053,Travisbury,Port Jeff,2023-02-25 14:18:13,2025-01-06 08:48:54,9127.92,2517.68
Bond-Dean,3080465162,Lake Jenniferview,Johnsonbury,2023-11-07 22:58:00,2024-09-21 10:41:41,1951.62,7890.24
"Hunter, Wagner and Taylor",2366161960,Michaelburgh,South Toddfurt,2023-05-24 00:32:43,2025-02-06 19:45:38,7811.82,1899.03
Watson Group,7532313064,New Feliciaside,Jamesshire,2023-10-09 19:37:26,2025-02-08 11:29:59,3233.27,2890.31
Kelley-Lee,8919141594,North Anthony,Charlotteville,2023-03-23 09:21:39,2024-03-11 21:47:41,9410.58,6863.37
"West, Conway and Carpenter",6471155202,South Ryantown,Buchananfort,2023-08-18 06:11:27,2024-12-26 19:33:35,2653.58,1319.13
Faulkner-Rice,9295643087,Morganland,New Diane,2024-02-14 04:47:53,2024-10-09 15:56:18,4726.14,3559.66
"Franklin, Rios and Turner",5582557882,Port Richard,Bankstown,2023-05-10 11:34:21,2025-02-03 17:51:02,8761.7,1995.45
Myers and Sons,818438049,Port Nancyburgh,Tinaview,2023-08-11 06:37:57,2024-09-19 13:18:36,5151.53,6335.84
Osborne-Rosario,632149421,Lake Philip,Bakerland,2023-03-09 03:48:41,2025-02-17 14:40:07,7731.32,6611.52
Parker PLC,6317302509,Port Jill,Garzaville,2023-06-20 16:37:39,2024-06-16 13:35:40,9855.98,8701.16
Cox LLC,1328315404,Williamstad,West Williamstad,2023-07-16 13:43:06,2024-10-11 01:32:20,4668.88,9393.08
Morris Group,3406194061,Munoztown,East Alyssa,2023-08-12 19:24:56,2024-02-24 09:33:09,4657.4,9032.33
Curry-Cooper,3183833593,East Samanthafort,Lake Brandonport,2023-02-27 06:58:42,2024-09-08 12:07:07,3883.49,3104.89
Howard-Ryan,4241000465,West Michele,Kingland,2023-10-11 19:48:58,2024-05-16 11:58:08,2436.13,1351.7
"Davis, Morrison and Willis",9522811616,Port Vincent,East Stephanie,2023-10-02 15:12:45,2024-09-06 07:22:54,9572.17,8253.58
"Medina, Bailey and Jimenez",463893708,Port Tonya,Port Anthonyville,2023-04-23 18:24:47,2024-08-03 04:38:51,7142.34,7541.8
"Manning, Jensen and Thomas",9637174960,West Lisaville,Charlesstad,2023-11-27 21:20:50,2024-05-17 16:34:21,6689.43,4667.65
"Wilkinson, Lewis and York",2742399224,Haroldville,Annettechester,2023-11-09 17:18:29,2024-12-12 07:23:15,3723.29,107.25
Weber Ltd,2047972848,Larsonhaven,Kathrynfort,2023-08-12 13:07:11,2024-08-12 09:40:33,3776.56,9764.79
Singh-Thompson,2709123247,North Julian,East Megantown,2023-03-19 05:29:07,2024-07-18 12:31:15,2721.9,8128.63
Sullivan PLC,7355933863,Lake Edwardview,Justinmouth,2023-12-15 17:43:58,2024-06-06 12:49:53,3694.14,7309.66
Escobar Group,3641962240,Port Paulburgh,Port Tyler,2023-07-15 09:59:28,2024-12-09 01:47:37,5729.35,8164.47
"Taylor, Frey and Ross",912303720,Michaelhaven,Lake Marie,2024-01-11 03:38:05,2024-11-16 07:43:40,4615.2,1115.61
Hicks-Oconnor,9525005011,Matthewville,New Tinafurt,2023-10-04 23:01:54,2024-03-01 09:59:43,1129.68,4194.1
Gray Inc,5838091268,Sotoview,South Jameshaven,2023-09-23 21:18:47,2024-08-07 19:26:43,7231.94,6849.18
Stanley-Cox,3850110668,Melindaton,Durhamside,2023-10-01 23:56:42,2024-05-27 22:47:18,2228.51,9073.32
"Lane, Miller and Douglas",6838593472,Lake Adam,Samanthashire,2023-04-05 14:45:50,2024-03-13 03:14:27,9957.93,8380.08
Monroe LLC,3378056382,Montgomerymouth,Juanstad,2023-09-27 10:33:03,2024-10-20 01:45:16,9464.54,5343.59
"Becker, Lawrence and Cummings",5082952573,Brownberg,Michaeltown,2023-06-09 20:37:10,2024-08-15 18:19:25,1490.45,9694.83
Harris LLC,5446587584,Richardhaven,Joshuaview,2023-03-27 12:40:24,2025-02-06 18:55:14,8561.8,2835.54
Moore-Sampson,2235212622,West Jacqueline,Lake Andreview,2023-10-22 14:52:06,2024-11-09 17:30:13,7767.82,5449.5
Taylor-Owens,4672759784,Lake Ashleytown,New Darlene,2023-05-16 15:46:21,2024-04-26 00:43:24,3044.31,9005.72
Rodriguez and Sons,9426390715,North Luisbury,Cherylmouth,2023-06-27 18:37:47,2024-09-06 04:10:26,6047.8,5728.85
Cook and Sons,3476976207,South Joseph,Lake Christineberg,2023-04-13 20:34:17,2024-10-22 17:11:52,7461.4,2897.23
"Knight, Morales and Peck",7195962293,Lopezhaven,Port Mariaton,2023-05-30 09:00:52,2024-12-13 16:31:02,8819.53,9428.12
Alexander and Sons,6209413854,North Donnabury,Nicoleville,2023-11-08 20:25:48,2024-12-20 15:59:15,4367.31,9266.54
Newton-Little,601956914,North Jenniferberg,New Jamie,2023-10-17 11:10:53,2025-01-03 01:18:24,3367.18,1708.25
Barrett LLC,7181776570,East Katherinemouth,New Jennifer,2023-04-15 12:16:25,2024-04-05 11:24:30,5009.83,7776.24
"Stewart, Anderson and Rush",3083121657,Kellychester,Port Karen,2023-09-23 00:59:53,2024-03-10 19:06:14,9770.36,936.95
Lewis Inc,7448174396,Lake Michelefort,Riveraburgh,2024-01-27 04:44:10,2024-09-07 15:44:12,3826.33,1251.75
"Frazier, Holder and Ramsey",182932452,Kellyton,West Patrickview,2023-09-15 23:32:08,2024-06-29 02:53:57,2119.6,6705.89
King Ltd,9547776602,Griffinstad,Amberland,2024-01-12 23:05:40,2024-06-30 15:35:38,3674.01,9984.58
Andrews-Barton,2896301187,West Bonniehaven,South Samanthamouth,2024-02-19 10:23:04,2024-06-23 03:26:16,3107.01,3920.52
Perkins-Hammond,5713694268,Carlsonfurt,West Alexandraburgh,2024-02-06 10:40:39,2025-01-03 16:43:40,7560.14,3780.46
"Reynolds, Quinn and Taylor",6078054822,New Kimberly,New Diana,2023-04-26 07:26:10,2024-12-14 05:04:45,6523.17,9725.9
Parker-Huang,4366346508,Melindaville,New Gregorychester,2023-03-30 17:58:39,2024-11-18 09:04:23,5938.55,8567.04
"Clark, Robertson and Edwards",6072598515,Janicestad,North Lindaville,2023-09-01 03:55:59,2024-12-21 06:46:16,9833.55,1139.39
Williams-Wong,704782571,Whitneyland,Taratown,2023-08-29 08:13:07,2024-10-15 13:01:05,6575.42,356.21
"Porter, Whitney and Landry",8844778597,West Tiffanymouth,West Courtneybury,2023-08-11 09:52:33,2024-04-02 08:07:24,9096.76,9475.99
"Allen, Wang and Brooks",3825329378,West Nicolemouth,North Jeffrey,2023-05-19 01:43:56,2024-09-08 04:03:33,8725.01,1374.62
"Webb, Torres and Ross",7297005610,East Vanessaport,Christopherview,2023-06-20 23:12:27,2024-07-06 07:48:39,4086.21,3829.73
Carroll-Cruz,2019173743,Campbellberg,West Wendy,2023-04-08 02:19:01,2024-09-17 07:22:23,6005.1,7403.95
Gonzalez-Williams,9897721676,South Jaime,Lake Austin,2023-10-11 10:36:07,2024-09-12 02:52:51,6624.44,5243.42
"Ortiz, Meyer and Martinez",9727634151,Port Eric,Lake Jamesbury,2023-03-02 09:48:55,2024-05-06 01:13:35,8332.44,4556.11
"Jennings, Morales and Hayes",495016982,Alexandramouth,Michaelview,2024-01-05 12:34:20,2024-08-24 05:14:47,1289.35,6017.55
Murray-Jackson,4720099491,Port Jessicabury,East Jennifer,2024-01-18 10:49:16,2024-07-18 09:15:51,1846.48,3493.92
"Soto, Hunt and Nelson",6970110964,Kennethton,South Brandon,2023-11-18 14:06:03,2024-06-30 02:24:07,6851.43,1682.92
Rios-Knight,5440326453,Jennifershire,East Robertfort,2023-06-25 04:32:28,2025-01-07 21:03:22,6529.61,3202.73
Alvarado-Perez,7658197169,Port Melissa,Michellehaven,2023-10-25 08:42:42,2024-08-03 08:48:37,6742.77,694.68
"Snyder, Powell and Carrillo",158484079,Sotomouth,Andersonside,2023-09-02 00:41:51,2025-01-18 12:42:15,9510.37,2037.87
Wilson Group,6038557103,Lindseychester,Andrewville,2023-09-23 12:11:40,2024-03-24 21:41:46,1165.94,8909.8
Smith-Mcgee,6053203588,New Joseph,North Taylor,2023-07-13 03:00:40,2024-11-30 21:20:11,4194.59,8473.07
Hensley PLC,119677549,South Angelaberg,Yolandaside,2023-07-13 23:44:13,2024-04-27 17:31:35,2155.88,8636.31
Brown-Summers,4938688235,South Alyssa,Port Allisonside,2023-12-27 06:41:45,2024-12-09 09:56:21,4477.05,404.88
Moore-Jenkins,4958745088,Figueroamouth,Lake Todd,2023-11-26 18:17:00,2024-11-21 11:35:36,8370.09,1490.62
Martinez and Sons,4989548178,North Christinemouth,Jasonton,2024-02-08 14:46:27,2024-10-11 00:47:52,9699.59,4841.77
Smith LLC,7620446608,Lopezchester,West Kari,2023-07-26 18:05:22,2024-09-25 02:42:12,9599.13,5728.9
"Gonzalez, Jones and Tucker",5496780668,Jenkinsside,South Nicolechester,2023-12-17 04:36:44,2025-02-18 22:52:41,1459.52,3903.32
Williams-Fletcher,6248864173,New Kimberly,Patrickbury,2023-06-26 13:45:07,2024-11-04 23:23:10,3190.89,5943.64
"Jones, Flores and Nelson",5055960009,Burnsstad,South Jessicashire,2023-06-17 22:26:27,2024-04-26 14:48:40,9747.07,7632.68
Brooks-Carey,6510219786,South Andrea,Walshmouth,2023-06-10 14:30:52,2024-07-10 14:56:14,2194.69,2813.11
"Walker, Logan and Olsen",7451820337,Rodriguezmouth,Johnsonfurt,2024-01-05 10:27:18,2024-10-10 03:09:10,7439.33,7426.33
"Summers, Hughes and Smith",7101297646,North Ricky,Washingtonton,2023-06-12 13:35:55,2024-04-14 16:33:57,7802.63,7635.88
Cabrera-Rowe,8520779461,South Normanchester,South Thomas,2023-06-06 15:25:16,2024-09-21 04:31:15,4029.73,2668.87
Robinson-Williams,5957529470,East Jade,Pattersonburgh,2023-02-20 10:02:12,2024-09-29 09:05:16,7576.27,2975.78
Lewis and Sons,9058640813,New Jasmine,Kimberlyside,2024-02-02 14:33:46,2024-06-07 16:19:54,4386.17,7222.94
Jimenez Inc,4319127994,Josephfort,Kimberlyville,2023-03-06 02:09:29,2024-06-25 19:03:07,3923.29,4842.06
Mccarthy Inc,5332295840,Avilastad,Bishopport,2023-06-16 08:21:45,2024-08-17 01:44:32,9207.88,9042.43
Henry-Sanders,8390575640,Angelport,East Lisabury,2023-08-19 12:47:35,2024-10-27 23:36:08,6431.81,381.67
Le and Sons,4100427611,Howardport,Jasonton,2023-04-28 07:38:57,2024-05-07 12:18:34,4826.84,5171.43
Jensen and Sons,3631261804,Port Aaron,South Chad,2023-10-15 06:09:02,2024-03-18 03:04:05,7407.84,4892.31
Campbell-Cox,4271442401,New Morganville,Port Wendyland,2023-06-02 08:34:23,2024-09-28 22:28:51,3799.0,9588.97
Edwards-Boyle,4326197485,Johnsonstad,Sarahport,2024-01-01 09:54:11,2024-03-24 19:45:13,9990.48,4588.65
Jackson-Williams,3169873203,East Nathan,Skinnershire,2023-06-21 03:20:09,2024-12-14 07:44:09,3268.34,3591.1
Owens LLC,1969986,Andersenberg,Lake Aaron,2023-12-06 21:00:05,2024-07-07 15:30:02,6319.94,3549.61
"Ross, Reynolds and Hernandez",7881664799,Bobbyville,Colleenside,2023-06-08 17:23:13,2024-08-03 00:15:38,5379.59,8135.94
Morgan-Henry,4639516484,West Coryfurt,Lake Heatherfort,2023-08-23 09:24:16,2024-11-15 15:58:30,8647.29,2002.92
Duarte and Sons,2363828126,East Annette,Marcview,2023-03-16 16:43:46,2024-07-16 10:39:59,6790.2,2599.93
Tucker-Smith,7128114798,East Paigetown,Lake Barbara,2023-10-05 11:20:34,2024-04-30 14:02:55,6847.09,4226.87
"Munoz, Sanchez and Stevens",8517106598,Zacharyton,East Glennview,2023-02-23 02:45:15,2024-10-12 10:40:19,3889.69,6628.41
Torres-Stephens,5458787584,Morrisfort,Ashleymouth,2023-11-16 18:24:32,2024-04-14 04:01:54,3947.23,6262.04
Mccall-Mitchell,949354199,Harpertown,Baxterchester,2023-09-20 04:46:42,2024-11-02 12:10:29,4717.73,6459.31
"Murray, Martin and Mccormick",6406371729,New Nicole,Lake Angela,2023-09-07 15:44:02,2024-05-24 12:02:40,6922.96,4355.88
Fernandez Ltd,7119671237,North Christopher,Norrisberg,2024-02-04 21:49:02,2025-02-01 05:16:21,1062.12,2354.09
"Serrano, Thomas and Graham",902786128,Tracyfurt,Fryehaven,2024-01-02 03:10:40,2024-07-15 11:27:19,7582.54,4634.71
"Welch, Rogers and Ward",880989891,Lake Brenda,Lake Laceyport,2023-03-25 01:27:02,2024-11-21 13:49:18,4969.56,9837.91
Calderon and Sons,9074671566,Gonzalezfort,Maryton,2023-05-07 14:10:36,2024-03-19 21:41:25,9024.54,3570.59
Anderson-Lee,4365216626,Smithfurt,Josephton,2023-08-15 03:04:32,2024-09-07 04:12:40,3728.61,9656.91
Hess-Torres,7501705329,South Allen,South Justinmouth,2023-04-17 11:53:20,2024-07-18 04:12:01,6099.0,6959.68
Rush and Sons,756247927,Murphyfort,Jamesview,2023-08-30 05:59:36,2024-03-27 23:07:11,4698.16,9310.38
Rivas LLC,5941143868,Jillstad,West Brandon,2023-07-11 14:47:06,2025-01-28 04:45:20,8193.37,6107.61
"Hall, Young and Cameron",3799914281,Parksshire,Kimberlyland,2023-07-31 17:54:02,2024-04-06 23:18:43,4154.96,7367.96
"Hardin, Scott and Mejia",9077880595,West Bethanyfurt,Williamsport,2023-09-04 04:51:12,2024-05-15 11:34:08,5752.48,2618.57
Lopez-Griffin,8616800501,Jacksonside,Jessicahaven,2023-07-11 23:35:25,2024-07-28 07:19:42,8258.61,6267.1
Norris-Coleman,1869515774,Elizabethburgh,West Mirandaton,2024-01-10 00:14:23,2024-03-31 18:02:40,1285.84,5198.2
"Wade, Adams and Harrison",5399698760,Port Holly,East David,2023-07-22 15:14:27,2024-10-12 17:13:10,4113.77,1518.3
Briggs-Campbell,6932620155,East Marcus,Costaton,2023-07-05 22:32:40,2024-05-25 19:43:03,2630.75,3149.09
Russell-Rogers,2240555873,East Aprilmouth,Skinnerside,2023-03-04 13:50:00,2024-08-28 16:31:49,6170.47,4346.29
"Ellis, Shaffer and Sherman",3211209962,East Johnstad,West Stefanie,2023-05-25 00:45:06,2024-06-30 00:44:55,6792.43,6688.31
"Nolan, Flores and Reyes",6870818462,North Antoniohaven,East Michaelfort,2023-11-28 02:13:57,2025-01-21 10:13:08,6882.37,235.32
Harris Ltd,8649364301,Richardberg,Millsshire,2023-04-09 04:21:51,2024-07-13 13:38:03,4841.62,5528.57
Kent-Nielsen,301167034,Cooperview,South Sharonburgh,2023-06-26 11:10:08,2024-10-23 00:45:15,3762.96,514.93
Sawyer LLC,4676468946,Christinechester,Melanieview,2024-02-04 12:29:46,2024-08-05 20:02:09,2802.29,9164.47
Jones Ltd,1723442455,Salazarton,Clarkshire,2023-08-08 17:55:19,2025-02-04 08:06:41,2264.19,4274.9
Perry-Frey,6876054659,Kimberlystad,Sheltonside,2023-05-05 01:15:34,2024-02-26 14:34:40,7587.0,7057.28
"Ramirez, Andrade and Edwards",614581397,Zacharyview,Gonzalezhaven,2023-03-23 22:32:15,2024-07-30 01:54:47,8857.78,5906.93
Duffy-Jennings,6491273473,Port Anthony,Lake Anthonychester,2023-02-24 05:13:07,2025-01-22 14:17:37,1643.17,9563.66
Wolfe-Taylor,1636681348,Serranostad,Johnville,2023-11-23 07:37:18,2024-03-03 08:50:46,7425.83,4966.19
Khan-Frazier,9323506396,Kyleborough,East Catherinefurt,2024-01-09 09:12:13,2024-06-15 08:41:35,2845.67,7633.83
"Williams, White and Jordan",4038547194,Lake Kathleen,New Nicholas,2023-09-25 20:44:32,2024-08-15 14:10:21,3969.72,6398.25
Molina-Howard,8663495606,Marcusshire,Freemanchester,2023-06-13 11:51:01,2024-05-22 13:52:22,1020.93,1662.05
